"Bancada","Permissao","Produto","Quantidade","Requisitos"
"DrinkRestaurante","Restaurante","coffeemilk","1","coffee:1; milkbottle:1"
"Furnace","Publica","plastic","25","emptybottle:3; WEAPON_PETROLCAN_AMMO:5000"
"Furnace","Publica","glass","5","sand:1"
"Furnace","Publica","latex","1","woodlog:5; emptybottle:1"
"Furnace","Publica","rubber","20","latex:1"
"Furnace","Publica","aluminum","5","bauxite:1"
"Furnace","Publica","copper","5","chalcopyrite:1"
"Mecanico","Publica","coilover","1","screws:24; screwnuts:24; copper:725; aluminum:725; metalspring:4; sheetmetal:10; roadsigns:4; scotchtape:2; insulatingtape:2; scrapmetal:425"
"Mecanico","Publica","advtoolbox","1","screws:2; screwnuts:2; rubber:100; copper:85; aluminum:75"
"Mecanico","Publica","toolbox","1","screws:1; screwnuts:1; rubber:50; copper:18; aluminum:15"
"Mecanico","Publica","tyres","1","rubber:35"
"Mecanico","Publica","plate","1","copper:50; aluminum:45"
"Mecanico","Publica","nitro","1","scotchtape:2; insulatingtape:1; screws:2; screwnuts:2; glass:125; copper:60; aluminum:55"
"pistol_bench","Publica","WEAPON_PISTOL","1","pistolbody:1; weaponparts:3; metalspring:1; glass:100; rubber:100; plastic:120; copper:75; aluminum:75"
"pistol_bench","Publica","WEAPON_PISTOL_MK2","1","pistolbody:1; weaponparts:3; metalspring:1; glass:115; rubber:115; plastic:135; copper:75; aluminum:75"
"pistol_bench","Publica","WEAPON_HEAVYPISTOL","1","pistolbody:1; weaponparts:5; metalspring:1; glass:155; rubber:155; plastic:175; copper:100; aluminum:100"
"pistol_bench","Publica","WEAPON_SNSPISTOL","1","pistolbody:1; weaponparts:3; metalspring:1; glass:75; rubber:100; plastic:65; copper:55; aluminum:65"
"pistol_bench","Publica","WEAPON_SNSPISTOL_MK2","1","pistolbody:1; weaponparts:3; metalspring:1; glass:75; rubber:100; plastic:110; copper:75; aluminum:75"
"pistol_bench","Publica","WEAPON_VINTAGEPISTOL","1","pistolbody:1; weaponparts:3; metalspring:1; glass:75; rubber:75; plastic:100; copper:50; aluminum:50"
"pistol_bench","Publica","WEAPON_PISTOL50","1","pistolbody:1; weaponparts:5; metalspring:1; glass:155; rubber:155; plastic:165; copper:100; aluminum:100"
"pistol_bench","Publica","WEAPON_COMBATPISTOL","1","pistolbody:1; weaponparts:3; metalspring:1; glass:115; rubber:125; plastic:125; copper:75; aluminum:75"
"smg_bench","Publica","WEAPON_APPISTOL","1","smgbody:1; weaponparts:5; metalspring:2; glass:145; rubber:145; plastic:155; copper:100; aluminum:100"
"smg_bench","Publica","WEAPON_MACHINEPISTOL","1","smgbody:1; weaponparts:5; metalspring:2; glass:145; rubber:145; plastic:155; copper:100; aluminum:100"
"smg_bench","Publica","WEAPON_MICROSMG","1","smgbody:1; weaponparts:5; metalspring:2; glass:225; rubber:235; plastic:275; copper:175; aluminum:175"
"smg_bench","Publica","WEAPON_MINISMG","1","smgbody:1; weaponparts:5; metalspring:2; glass:225; rubber:235; plastic:275; copper:175; aluminum:175"
"smg_bench","Publica","WEAPON_SMG","1","smgbody:1; weaponparts:5; metalspring:2; glass:275; rubber:305; plastic:315; copper:225; aluminum:225"
"smg_bench","Publica","WEAPON_SMG_MK2","1","smgbody:1; weaponparts:5; metalspring:2; glass:375; rubber:305; plastic:305; copper:225; aluminum:225"
"smg_bench","Publica","WEAPON_GUSENBERG","1","smgbody:1; weaponparts:5; metalspring:2; glass:275; rubber:305; plastic:305; copper:225; aluminum:225"
"rifle_bench","Publica","WEAPON_PUMPSHOTGUN","1","riflebody:1; weaponparts:5; metalspring:1; glass:225; rubber:265; plastic:255; copper:175; aluminum:175"
"rifle_bench","Publica","WEAPON_PUMPSHOTGUN_MK2","1","riflebody:1; weaponparts:8; metalspring:2; glass:375; rubber:425; plastic:345; copper:175; aluminum:175"
"rifle_bench","Publica","WEAPON_SAWNOFFSHOTGUN","1","riflebody:1; weaponparts:5; metalspring:1; glass:225; rubber:255; plastic:265; copper:175; aluminum:175"
"rifle_bench","Publica","WEAPON_COMPACTRIFLE","1","riflebody:1; weaponparts:8; metalspring:2; glass:305; rubber:325; plastic:265; copper:175; aluminum:175"
"rifle_bench","Publica","WEAPON_CARBINERIFLE","1","riflebody:1; weaponparts:10; metalspring:3; glass:405; rubber:405; plastic:405; copper:345; aluminum:335"
"rifle_bench","Publica","WEAPON_CARBINERIFLE_MK2","1","riflebody:1; weaponparts:10; metalspring:3; glass:405; rubber:415; plastic:375; copper:355; aluminum:375"
"rifle_bench","Publica","WEAPON_ADVANCEDRIFLE","1","riflebody:1; weaponparts:10; metalspring:3; glass:385; rubber:405; plastic:405; copper:335; aluminum:325"
"rifle_bench","Publica","WEAPON_BULLPUPRIFLE","1","riflebody:1; weaponparts:10; metalspring:3; glass:385; rubber:465; plastic:400; copper:325; aluminum:325"
"rifle_bench","Publica","WEAPON_BULLPUPRIFLE_MK2","1","riflebody:1; weaponparts:10; metalspring:3; glass:305; rubber:425; plastic:425; copper:300; aluminum:425"
"rifle_bench","Publica","WEAPON_SPECIALCARBINE","1","riflebody:1; weaponparts:10; metalspring:3; glass:305; rubber:425; plastic:425; copper:425; aluminum:300"
"rifle_bench","Publica","WEAPON_SPECIALCARBINE_MK2","1","riflebody:1; weaponparts:10; metalspring:3; glass:275; rubber:400; plastic:400; copper:425; aluminum:345"
"rifle_bench","Publica","WEAPON_TACTICALRIFLE","1","riflebody:1; weaponparts:10; metalspring:3; glass:275; rubber:400; plastic:400; copper:345; aluminum:425"
"rifle_bench","Publica","WEAPON_HEAVYRIFLE","1","riflebody:1; weaponparts:10; metalspring:3; glass:305; rubber:425; plastic:425; copper:335; aluminum:375"
"rifle_bench","Publica","WEAPON_ASSAULTRIFLE","1","riflebody:1; weaponparts:10; metalspring:3; glass:305; rubber:425; plastic:425; copper:425; aluminum:300"
"rifle_bench","Publica","WEAPON_ASSAULTRIFLE_MK2","1","riflebody:1; weaponparts:10; metalspring:3; glass:275; rubber:400; plastic:400; copper:425; aluminum:345"
"blueprint_bench","Publica","blueprint_gauze","1","blueprint_fragment:2500"
"blueprint_bench","Publica","blueprint_bandage","1","blueprint_fragment:5500"
"drugs_bench","Publica","cocaine","1","coke:1"
"drugs_bench","Publica","cokesack","1","cocaine:10"
"drugs_bench","Publica","joint","1","weed:1"
"drugs_bench","Publica","weedsack","1","joint:10"
"drugs_bench","Publica","meth","5","saline:1; sulfuric:1"
"drugs_bench","Publica","methsack","1","meth:10"
"drugs_bench","Publica","crack","1","cocaine:10; acetone:2"
"drugs_bench","Publica","heroin","1","meth:7; saline:2; alcohol:2; sulfuric:2"
"drugs_bench","Publica","metadone","1","analgesic:1; sulfuric:2; alcohol:2"
"drugs_bench","Publica","codeine","1","analgesic:1; sulfuric:2; alcohol:2"
"drugs_bench","Publica","amphetamine","1","meth:6; cocaine:6"
"Lester","Lester","ballisticplate","1","tarp:3; sheetmetal:3; roadsigns:3; copper:20; aluminum:15"
"Lester","Lester","repairkit01","1","sheetmetal:1; roadsigns:1; scotchtape:1; copper:10; aluminum:12"
"Lester","Lester","repairkit02","1","sheetmetal:2; roadsigns:2; scotchtape:2; copper:20; aluminum:25"
"Lester","Lester","repairkit03","1","sheetmetal:4; roadsigns:4; scotchtape:4; copper:70; aluminum:75"
"Lester","Lester","repairkit04","1","sheetmetal:10; roadsigns:10; scotchtape:10; copper:130; aluminum:100"
"Lester","Lester","racesticket","1","plastic:25; dirtydollar:2025"
"Lester","Lester","racestablet","1","screws:4; copper:100; aluminum:100; metalspring:1; sheetmetal:2"
"Lester","Lester","lockpick","1","copper:30; aluminum:30; sheetmetal:2"
"Lester","Lester","dismantle","1","plastic:25; dirtydollar:975"
"Lester","Lester","handcuff","1","copper:60; aluminum:65"
"Lester","Lester","hood","1","tarp:5; rubber:85"
"Lester","Lester","blocksignal","1","plastic:80"
"Lester","Lester","WEAPON_SHOTGUN_AMMO","4","aluminum:7; gunpowder:1"
"Lester","Lester","WEAPON_PISTOL_AMMO","15","copper:10; gunpowder:1"
"Lester","Lester","WEAPON_SMG_AMMO","15","copper:8; aluminum:8; gunpowder:1"
"Lester","Lester","WEAPON_RIFLE_AMMO","15","copper:10; aluminum:15; gunpowder:1"
"Lester","Lester","ATTACH_FLASHLIGHT","1","scotchtape:1; insulatingtape:1; batteryaa:1; batteryaaplus:1; glass:75; plastic:75"
"Lester","Lester","ATTACH_CROSSHAIR","1","scotchtape:1; insulatingtape:1; batteryaa:1; batteryaaplus:1; glass:95; plastic:95; copper:25"
"Lester","Lester","ATTACH_SILENCER","1","scotchtape:5; insulatingtape:5; emptybottle:1; toothpaste:1; plastic:200; copper:200"
"Lester","Lester","ATTACH_MAGAZINE","1","scotchtape:1; insulatingtape:1; rubber:95; plastic:95; aluminum:25"
"Lester","Lester","ATTACH_GRIP","1","scotchtape:1; insulatingtape:1; electroniccomponents:1; rubber:65; plastic:65"
