"Map","Archetype","Hash","Kind","Ytyp","Asset","Texture","Physics","Status"
"deus","hash_0A7FA64B","HASH_0A7FA64B","unknown","","","","","native_or_missing"
"deus","hash_575ECE33","HASH_575ECE33","unknown","","","","","native_or_missing"
"deus","hash_CF821D72","HASH_CF821D72","unknown","","","","","native_or_missing"
"deus","hash_9C610E9F","HASH_9C610E9F","unknown","","","","","native_or_missing"
"deus","hash_BD564507","HASH_BD564507","unknown","","","","","native_or_missing"
"deus","hash_64A0A509","HASH_64A0A509","direct","","[ydr]\quebradashopgraf56.ydr","","","matched"
"deus","hash_64A0A509","HASH_64A0A509","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_64A0A509","hash_4D4BBE9C","hash_64A0A509","defined"
"deus","hash_AC72264B","HASH_AC72264B","direct","","[ydr]\quebradashopgraf72.ydr","","","matched"
"deus","hash_AC72264B","HASH_AC72264B","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_AC72264B","hash_AC72264B","hash_AC72264B","defined"
"deus","hash_06ABFBDF","HASH_06ABFBDF","direct","","[ydr]\quebradashopgraf372.ydr","","","matched"
"deus","hash_06ABFBDF","HASH_06ABFBDF","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_06ABFBDF","hash_06ABFBDF","hash_06ABFBDF","defined"
"deus","hash_75D3F07D","HASH_75D3F07D","direct","","[ydr]\quebradashopgraf383.ydr","","","matched"
"deus","hash_75D3F07D","HASH_75D3F07D","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_75D3F07D","hash_75D3F07D","hash_75D3F07D","defined"
"deus","hash_43DE0BB2","HASH_43DE0BB2","direct","","[ydr]\quebradashopgraf391.ydr","","","matched"
"deus","hash_43DE0BB2","HASH_43DE0BB2","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_43DE0BB2","hash_43DE0BB2","hash_43DE0BB2","defined"
"deus","hash_B261E770","HASH_B261E770","direct","","[ydr]\igrejavb.ydr","","","matched"
"deus","hash_B261E770","HASH_B261E770","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_B261E770","hash_B77608F1","hash_B261E770","defined"
"deus","hash_FBBE41FB","HASH_FBBE41FB","unknown","","","","","native_or_missing"
"deus","hash_1795A065","HASH_1795A065","unknown","","","","","native_or_missing"
"deus","hash_03A41E1A","HASH_03A41E1A","unknown","","","","","native_or_missing"
"deus","hash_D011918B","HASH_D011918B","unknown","","","","","native_or_missing"
"deus","hash_9AB4B20E","HASH_9AB4B20E","unknown","","","","","native_or_missing"
"deus","hash_3CA7F7B4","HASH_3CA7F7B4","unknown","","","","","native_or_missing"
"deus","hash_C18B8FA3","HASH_C18B8FA3","unknown","","","","","native_or_missing"
"deus","hash_978A3F50","HASH_978A3F50","unknown","","","","","native_or_missing"
"deus","hash_810CD329","HASH_810CD329","unknown","","","","","native_or_missing"
"deus","hash_4C61D617","HASH_4C61D617","unknown","","","","","native_or_missing"
"deus","hash_79398794","HASH_79398794","unknown","","","","","native_or_missing"
"deus","hash_F2AF1E25","HASH_F2AF1E25","direct","","[ydr]\quebradashopgraf513.ydr","","","matched"
"deus","hash_F2AF1E25","HASH_F2AF1E25","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_F2AF1E25","hash_F2AF1E25","hash_F2AF1E25","defined"
"deus","hash_2AF48258","HASH_2AF48258","direct","","[ydr]\lojaroupavb.ydr","","","matched"
"deus","hash_2AF48258","HASH_2AF48258","Drawable","[ytyp]\detailrua1.ytyp","hash_2AF48258","hash_B77608F1","hash_2AF48258","defined"
"deus","hash_7D251DE7","HASH_7D251DE7","direct","","[ydr]\qsv_51_clothing03.ydr","","","matched"
"deus","hash_7D251DE7","HASH_7D251DE7","Drawable","[ydr]\qs_props.ytyp","hash_7D251DE7","hash_B82851B1","hash_7D251DE7","defined"
"deus","hash_7D251DE7","HASH_7D251DE7","Drawable","[ytyp]\detailrua1.ytyp","hash_7D251DE7","hash_B82851B1","hash_7D251DE7","defined"
"deus","hash_487C3496","HASH_487C3496","direct","","[ydr]\qsv_51_clothing07.ydr","","","matched"
"deus","hash_487C3496","HASH_487C3496","Drawable","[ydr]\qs_props.ytyp","hash_487C3496","hash_B82851B1","hash_487C3496","defined"
"deus","hash_487C3496","HASH_487C3496","Drawable","[ytyp]\detailrua1.ytyp","hash_487C3496","hash_B82851B1","hash_487C3496","defined"
"deus","hash_ADAE56B5","HASH_ADAE56B5","direct","","[ydr]\quebradashopgraf307.ydr","","","matched"
"deus","hash_ADAE56B5","HASH_ADAE56B5","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_ADAE56B5","hash_ADAE56B5","hash_ADAE56B5","defined"
"deus","hash_A5AD9D27","HASH_A5AD9D27","direct","","[ydr]\quebradashopgraf275.ydr","","","matched"
"deus","hash_A5AD9D27","HASH_A5AD9D27","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_A5AD9D27","hash_A5AD9D27","hash_A5AD9D27","defined"
"deus","hash_7B3AC602","HASH_7B3AC602","direct","","[ydr]\quebradashopgraf211.ydr","","","matched"
"deus","hash_7B3AC602","HASH_7B3AC602","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_7B3AC602","hash_7B3AC602","hash_7B3AC602","defined"
"deus","hash_B56ECCC9","HASH_B56ECCC9","unknown","","","","","native_or_missing"
"deus","hash_0C84273A","HASH_0C84273A","direct","","[ydr]\qs_quadro7.ydr","","","matched"
"deus","hash_0C84273A","HASH_0C84273A","Drawable","[ydr]\qs_quadro.ytyp","hash_0C84273A","hash_F5EA76E1","hash_0C84273A","defined"
"deus","hash_722FA28E","HASH_722FA28E","unknown","","","","","native_or_missing"
"deus","hash_F3B38B02","HASH_F3B38B02","unknown","","","","","native_or_missing"
"deus","hash_274BA905","HASH_274BA905","unknown","","","","","native_or_missing"
"deus","hash_2351F1B1","HASH_2351F1B1","unknown","","","","","native_or_missing"
"deus","hash_1B8CA8AD","HASH_1B8CA8AD","unknown","","","","","native_or_missing"
"deus","hash_593A9667","HASH_593A9667","unknown","","","","","native_or_missing"
"deus","hash_75447865","HASH_75447865","unknown","","","","","native_or_missing"
"deus","hash_8AEBA3B7","HASH_8AEBA3B7","unknown","","","","","native_or_missing"
"deus","hash_E0B78F41","HASH_E0B78F41","unknown","","","","","native_or_missing"
"deus","hash_968A47D1","HASH_968A47D1","unknown","","","","","native_or_missing"
"deus","hash_2D4768B4","HASH_2D4768B4","unknown","","","","","native_or_missing"
"deus","hash_1FD9CDD9","HASH_1FD9CDD9","unknown","","","","","native_or_missing"
"deus","hash_8FA37B54","HASH_8FA37B54","unknown","","","","","native_or_missing"
"deus","hash_65ED89C9","HASH_65ED89C9","direct","","[ydr]\qsv_52_clothing07.ydr","","","matched"
"deus","hash_65ED89C9","HASH_65ED89C9","Drawable","[ydr]\qs_props.ytyp","hash_65ED89C9","hash_312550B7","hash_65ED89C9","defined"
"deus","hash_65ED89C9","HASH_65ED89C9","Drawable","[ytyp]\detailrua1.ytyp","hash_65ED89C9","hash_312550B7","hash_65ED89C9","defined"
"deus","hash_434BFB7C","HASH_434BFB7C","unknown","","","","","native_or_missing"
"deus","hash_28C8A784","HASH_28C8A784","unknown","","","","","native_or_missing"
"deus","hash_C6A36F32","HASH_C6A36F32","unknown","","","","","native_or_missing"
"deus","hash_FC3967DF","HASH_FC3967DF","unknown","","","","","native_or_missing"
"deus","hash_11A7C451","HASH_11A7C451","unknown","","","","","native_or_missing"
"deus","hash_6B18272B","HASH_6B18272B","direct","","[ydr]\quebradashop23b.ydr","","","matched"
"deus","hash_6B18272B","HASH_6B18272B","Drawable","[ytyp]\favela_quebradashop.ytyp","hash_6B18272B","hash_DAC99FC2","hash_6B18272B","defined"
"deus","hash_6AA742DD","HASH_6AA742DD","direct","","[ydr]\balcaocaixa.ydr","","","matched"
"deus","hash_6AA742DD","HASH_6AA742DD","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_6AA742DD","hash_6AA742DD","hash_893DA201","defined"
"deus","hash_265B608E","HASH_265B608E","unknown","","","","","native_or_missing"
"deus","hash_E0495463","HASH_E0495463","unknown","","","","","native_or_missing"
"deus","hash_54BBA095","HASH_54BBA095","unknown","","","","","native_or_missing"
"deus","hash_55B2BF3C","HASH_55B2BF3C","unknown","","","","","native_or_missing"
"deus","hash_FCBD0D4E","HASH_FCBD0D4E","unknown","","","","","native_or_missing"
"deus","hash_F2DF798F","HASH_F2DF798F","unknown","","","","","native_or_missing"
"deus","hash_EDD7C0D3","HASH_EDD7C0D3","unknown","","","","","native_or_missing"
"deus","hash_942944A9","HASH_942944A9","unknown","","","","","native_or_missing"
"deus","hash_E544103F","HASH_E544103F","direct","","[ydr]\quebradashopgraf183.ydr","","","matched"
"deus","hash_E544103F","HASH_E544103F","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_E544103F","hash_E544103F","hash_E544103F","defined"
"deus","hash_BFABB86B","HASH_BFABB86B","direct","","[ydr]\quebradashopgraf179.ydr","","","matched"
"deus","hash_BFABB86B","HASH_BFABB86B","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_BFABB86B","hash_BFABB86B","hash_BFABB86B","defined"
"deus","hash_D872EA05","HASH_D872EA05","direct","","[ydr]\quebradashopgraf175.ydr","","","matched"
"deus","hash_D872EA05","HASH_D872EA05","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_D872EA05","hash_D872EA05","hash_D872EA05","defined"
"deus","hash_1D27D3D0","HASH_1D27D3D0","direct","","[ydr]\muraoquadraqs.ydr","","","matched"
"deus","hash_1D27D3D0","HASH_1D27D3D0","Drawable","[ytyp]\favela_quebradashop.ytyp","hash_1D27D3D0","hash_29E5B098","hash_1D27D3D0","defined"
"deus","hash_D03CCE22","HASH_D03CCE22","direct","","[ydr]\quebradashop_quadra3.ydr","","","matched"
"deus","hash_D03CCE22","HASH_D03CCE22","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_D03CCE22","hash_DAC99FC2","hash_D03CCE22","defined"
"deus","hash_EF40DE7E","HASH_EF40DE7E","direct","","[ydr]\qs_escada2.ydr","","","matched"
"deus","hash_EF40DE7E","HASH_EF40DE7E","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_EF40DE7E","hash_5BD1F89C","hash_EF40DE7E","defined"
"deus","hash_5AB33561","HASH_5AB33561","direct","","[ydr]\qs_escada4.ydr","","","matched"
"deus","hash_5AB33561","HASH_5AB33561","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_5AB33561","hash_5BD1F89C","hash_5AB33561","defined"
"deus","hash_6C6E58D7","HASH_6C6E58D7","direct","","[ydr]\qs_escada3.ydr","","","matched"
"deus","hash_6C6E58D7","HASH_6C6E58D7","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_6C6E58D7","hash_5BD1F89C","hash_6C6E58D7","defined"
"deus","hash_CB34C84B","HASH_CB34C84B","direct","","[ydr]\qs_escada4a.ydr","","","matched"
"deus","hash_CB34C84B","HASH_CB34C84B","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_CB34C84B","hash_5BD1F89C","hash_CB34C84B","defined"
"deus","hash_9C029D50","HASH_9C029D50","direct","","[ydr]\quebradashop12d.ydr","","","matched"
